EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010621918,PROJECT SHARE OF MARGARETTA TOWNSHIP,% SHARON KEIMER,4108 STATE ROUTE 269 S,CASTALIA,OH,44824-9352,0000,03,3,1000,200204,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,T20,
010622507,AMERICA IN BLOOM,% KENNETH TAUBE,PO BOX 44005,COLUMBUS,OH,43204-0005,0000,03,3,1000,200312,1,15,000000000,1,01,202412,5,5,01,0,12,581897,576556,573316,C41,
010624969,CENTRAL CROSSING HIGH SCHOOL BAND BOOSTERS,% TARA SHOOK,PO BOX 1488,GROVE CITY,OH,43123-6488,0000,03,3,2000,200210,1,16,000000000,1,01,202305,3,4,01,0,05,59156,143336,137605,B11,
010625582,GOOD HOPE LUTHERAN CHURCH,% MICHELE ANTONINI,PO BOX 99,GLENFORD,OH,43739-0099,9386,03,9,7000,198804,1,10,001000000,1,01,202412,0,0,06,0,12,0,0,0,,
010627209,CUTMAR INC,% BERNICE GREGORY,706 IVERNESS RD,AKRON,OH,44313-0000,0000,03,3,1000,200403,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,P73,
010627754,CLEVELAND ARTS PRIZE,% DIANA TITTLE,PO BOX 21126,CLEVELAND,OH,44121-0126,0000,03,3,1000,200204,1,15,000000000,1,01,202412,5,4,01,0,12,715225,350187,350187,A60,
010629041,J JIREH MINISTRIES CHURCH INC,% NORMAN BROWN,PO BOX 6315,COLUMBUS,OH,43206-0315,0000,03,3,7100,200307,1,10,000000000,1,01,,1,1,06,0,12,,,,X212,
010632295,DEFIANCE COLLEGE PURPLE AND GOLD ATHLETIC CLUB INC,,701 N CLINTON ST,DEFIANCE,OH,43512-1610,0000,03,3,1000,200304,1,16,000000000,1,01,202406,1,3,02,0,06,268,27296,27296,B114,
010634942,OHIO CAPITAL FINANCE CORPORATION,% JENNIFER MULLANEY,88 E BROAD ST STE 1800,COLUMBUS,OH,43215-3526,0000,03,3,1000,200308,1,16,000000000,1,01,202312,9,8,01,0,12,167509154,11231940,11231940,S31,
010636494,THE ASSOCIATION OF CHURCH SPORTS AND RECREATION MINISTRIES INC,,PO BOX 9110,CANTON,OH,44711-9110,0000,03,3,1000,200303,1,16,000000000,1,01,202412,4,5,01,0,12,275354,541682,534714,X99,C S R M
010640463,THE WARREN LITTLE RAIDERS,,PO BOX 972,WARREN,OH,44482-0972,0000,03,3,1000,202308,1,15,000000000,5,01,202412,0,0,02,0,12,0,0,0,N65,
010643254,GILBOA PENTECOSTAL CHURCH OF GOD,% J WAYNE BALDRIDGE,3695 STATE ROUTE 224,OTTAWA,OH,45875-9784,1446,03,9,7000,195902,1,10,268120230,5,01,,0,0,06,0,12,,,,,
010644590,LIGHTHOUSE MINISTRIES,% GEORGE REYNOLDS,7246 MIDDLETOWN GERMANTOWN RD,MIDDLETOWN,OH,45042-1114,0000,03,3,1000,200309,1,10,000000000,1,01,,0,0,06,0,12,,,,X200,
010644781,RURAL WATER VENTURES INC,% WILLIAM E MCQUEENEY,17512 LAKESEDGE TRL,CHAGRIN FALLS,OH,44023-2115,0000,03,3,1000,200207,1,15,000000000,1,01,202412,3,2,02,0,12,36243,10799,10799,O30,
010645509,PRAISE TEMPLE DELIVERANCE MINISTRIES INC,% LEO FERGUSON,1717 YOUNGSTOWN RD SE BOX 1479,WARREN,OH,44484-4255,0000,03,3,7000,200304,1,10,000000000,1,01,,0,0,06,0,06,,,,X20,
010648391,BRAIN INJURY RECOVERY NETWORK INC,,840 CENTRAL AVE,CARLISLE,OH,45005-3128,0000,03,3,1000,200307,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,G48,
010649812,TWINSBURG YOUTH SOFTBALL LEAGUE,% TWINSBURG PARKS & RECREATION,8984 DARROW RD STE 2 # 206,TWINSBURG,OH,44087-2186,0000,03,3,2100,200502,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,N63,
010652957,AMERICAN LEGION POST 164 HONOR GUARD,% STEVEN L SELLERS,3363 MCDOWELL RD,GROVE CITY,OH,43123-2907,0000,03,3,1000,202112,1,15,000000000,5,01,202406,0,0,02,0,06,0,0,0,W30,POST 164
010656066,GROVE OF HTE TWILIGHT OWL ADF,,1307 LEXINGTON AVE,SPRINGFIELD,OH,45505-2219,5226,03,9,7000,199608,0,10,006000000,1,01,,0,0,06,0,12,,,,,
010656140,PARENTS FOR BEES HOCKEY,% CHRIS WATKINS,9370 KINGS CT,BRECKSVILLE,OH,44141-2756,0000,03,3,1000,202407,1,15,000000000,1,01,202505,0,0,02,0,05,0,0,0,N68,
010657002,SEVEN HILLS BASEBALL FEDERATION INC,% ROBERT PERRY,PO BOX 31115,SEVEN HILLS,OH,44131-0115,0000,03,3,2000,200206,1,16,000000000,1,01,202412,1,2,02,0,12,8232,24884,24884,N63,
010657200,FAITH CENTER CHURCH OF GOD OF THE MOUNTAIN ASSEMBLY,% JAMES A TAYLOR,217 W PLANE ST,BETHEL,OH,45106-1307,0000,03,3,7000,200310,1,10,000000000,1,01,,0,0,06,0,06,,,,X21,LITTLE LAMB PRESCHOOL
010658099,WAYNESVILLE MERCHANTS ASSOCIATION,% JAMES L SCHENFIELD,PO BOX 85,WAYNESVILLE,OH,45068-0085,0000,06,3,1000,200810,2,00,000000000,5,01,202312,3,3,02,0,12,34236,33249,33249,B90,
010659548,CAPITAL CITY JAGUARS YOUTH SPORTS ASSOCIATION,% RICHARD CARTER,7694 CRITWELL CT,REYNOLDSBURG,OH,43068-3106,0000,03,3,1000,202005,1,16,000000000,5,01,202412,0,0,02,0,12,0,0,0,O20,CAPITAL CITY JAGUARS YOUTH SPORTS A
010661346,NEW VISION BAPTIST CHURCH,% REV CHRIS LONDON,491 W INDIANOLA AVE,YOUNGSTOWN,OH,44511-2453,0000,03,3,1000,200211,1,10,000000000,1,01,,0,0,06,0,11,,,,X200,
010664034,FIRST GREATER NEW ZION BAPTIST CHURCH,% ALBERT MAIDEN,12501 ANGELUS AVE,CLEVELAND,OH,44105-4427,0000,03,3,1270,200604,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010670421,MEDIATION ASSOCIATION OF NORTHEAST OHIO,% JEROME MANO LEEDS,310 COBBLESTONE DR,MAYFIELD HTS,OH,44143-3682,0000,06,3,2000,200304,2,00,000000000,1,01,202412,0,0,02,0,12,0,0,0,S41,MANO
010673266,AFRICIAN PARISH HOUSE URBAN MINISTRIES,% WILLIAM-AMANZEE M PINCKNEY,PO BOX 91132,COLUMBUS,OH,43209-7132,0000,03,3,1000,200305,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,P40,HAVE FAITH CHRISTIAN COUNSELING
010673980,EXPERIMENTAL AIRCRAFT ASSOCIATION EAA CHAPTER 233,% RALPH B HOFFMAN,5665 VANATTA RD,CENTERBURG,OH,43011-9476,0000,03,3,1280,202110,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,B99,
010675880,GREATER AKRON AMENITIES INC,% SUSAN HAMO,77 EAST MILL STREET,AKRON,OH,44308-1459,0000,03,3,1000,200303,1,16,000000000,1,01,202312,5,6,01,0,12,604408,1060550,1060550,W40,
010675937,BEACHWOOD HISTORIC SOCIETY,% JAMES COWAN,2515 RICHMOND RD,BEACHWOOD,OH,44122-1766,0000,03,3,1000,200206,1,15,000000000,1,01,202403,0,0,02,0,03,0,0,0,A80,
010683409,INTERNATIONAL FRATERNITY OF DELTA SIGMA PI,,330 S CAMPUS AVE,OXFORD,OH,45056-2405,0414,07,9,1000,196609,2,00,036000000,5,01,202406,0,0,02,0,06,0,0,0,,BIRMINGHAM ALUMNI CHAPTER
010684796,BOUNDLESS STRATEGIC RESOURCES INC,% JOESEPH DAVY,445 E DUBLIN GRANVILLE RD,WORTHINGTON,OH,43085-3192,0000,03,3,2000,200212,1,11,000000000,1,01,202312,8,8,01,0,12,16804789,18542781,18542781,B28,
010686191,4TH STREET BASEMENT BOUTIQUE,% MARY E IVERS,4623 WESLEY AVE STE I,CINCINNATI,OH,45212-2272,0000,03,3,1000,200208,1,16,000000000,1,01,202312,4,4,01,0,12,131212,178896,193593,P60,
010688897,OHIO NETWORK OF CHILDRENS ADVOCACY CENTERS,,196 EAST STATE STREET SUITE 300,COLUMBUS,OH,43215-4324,0000,03,3,1200,200210,1,15,000000000,1,01,202406,4,7,01,0,06,462000,6689567,6689567,R20,
010691288,INTERNATIONAL SOCIETY OF MOTOR CONTROL,% MICHAEL RILEY,3225 EDEN AVE ML 0394,CINCINNATI,OH,45267-0001,0000,03,3,1000,201404,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,U50,
010691449,FAITH COMMUNITY CHURCH OF GOD,% SHIRLEY BALL,PO BOX 1383,GROVE CITY,OH,43123-6383,1489,03,9,7000,196007,1,10,001268000,1,01,,0,0,06,0,12,,,,,
010692354,INTERNATIONAL COLLEGIATE LICENSING ASSOCIATION,% ROBERT VECCHIONE,24651 DETROIT RD,WESTLAKE,OH,44145-2524,0000,06,3,2000,200209,2,00,000000000,1,01,202412,6,5,01,0,12,1058893,548450,548450,S41,
010692587,CAMILLE CATHERINE INC,% CHRISTIAN HOWES,1436 CHELMSFORD CT,COLUMBUS,OH,43229-1914,0000,03,3,1000,201401,1,16,000000000,1,01,202412,2,4,01,0,12,24113,138109,138109,A68,
010695237,RIVERFRONT LIBRARY ASSOCIATION,,PO BOX 37,SARDIS,OH,43946-0037,0000,03,3,1000,200404,1,16,000000000,1,01,202412,3,3,02,0,12,77400,47200,47200,B70,
010700196,WEST CENTRAL LEARNING ACADEMY II INC,% CONNIE L HOUSER,522 W NORTH ST,LIMA,OH,45801-4215,0000,03,3,2000,201604,1,15,000000000,1,01,202406,4,5,01,0,06,457823,978507,978507,B28,EDA
010701320,AMVETS,% JOE WILLIAMS,2250 PATTERSON RD,KETTERING,OH,45420-3061,0838,19,9,1000,195402,0,00,907000000,5,01,202408,0,0,02,0,08,0,0,0,,OH 2003
010702653,DAMICO FAMILY FOUNDATION,% HPM PARTNERS LLC,50 PUBLIC SQ STE 2700,CLEVELAND,OH,44113-2236,0000,03,3,1000,200208,1,04,000000000,1,01,202412,7,6,00,1,12,9563289,1548100,,T20,
010705096,CHARLES AND RITA LAWRENCE FAMILY FUND,% RITA LAWRENCE,30850 FOX HOLLOW DR,PEPPER PIKE,OH,44124-5429,0000,03,3,1000,200209,1,04,000000000,1,01,202412,4,3,00,1,12,250692,27310,,T22,
010705809,CLEARWATER HOMES INC,% LUANN K BUSCH,184 S BROADWAY,GENEVA,OH,44041-1805,0000,03,3,1000,200306,1,15,000000000,1,01,202412,5,6,01,0,12,962138,1388122,1388122,L20,
010706948,WOW CHURCH,% WILLIAM DUKE,PO BOX 305,BOWERSVILLE,OH,45307-0305,0000,03,3,7000,200303,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010710518,HEART OF THE CROSS CHURCH,% DAVID MARQUIS,8987 COUNTY ROAD 38,GALION,OH,44833-9624,4128,03,9,7000,195906,1,10,001000000,1,01,,0,0,06,0,12,,,,,
010712009,BACHMAN FOUNDATION,% NATHAN D BACHMAN,7023 MIAMI AVENUE 2ND FLOOR SUITE 1,CINCINNATI,OH,45243-2636,0000,03,3,1000,200302,1,04,000000000,1,01,202412,1,2,00,1,12,6141,18500,,T22,
010714801,GLORIOUS CHRISTIAN ASSEMBLY OF GOD,% LEO AKPAN,4550 NORTHGLEN CT,ENGLEWOOD,OH,45322-2500,0000,03,3,7000,200407,1,10,000000000,1,01,,1,3,06,0,12,,,,X20,
010715617,THE OHIO STATE UNIVERSITY,% MARY LINDSEY,325 W STATE STREET,GEORGETOWN,OH,45121-1229,5925,03,9,2000,201305,1,15,000000000,5,01,202412,0,0,02,0,12,0,0,0,O52,PAM CANTER
010716666,JOHN AND PATRICIA COUZINS,% PATRICA COUZINS,5850 MOHICAN LN,CINCINNATI,OH,45243-3639,0000,03,3,1000,201710,1,04,000000000,1,01,202312,4,2,00,1,12,174152,14237,,T22,
010716800,PARENTS IN EDUCATION,% BRAD CALVELAGE,201 W CROSS ST,COLUMBUS GRV,OH,45830-1237,0000,04,3,3000,201506,2,00,000000000,5,01,202412,0,0,02,0,12,0,0,0,S80,
010720976,WRIGHT FAMILY HOME,% CATHERINE WRIGHT,3326 E 140TH ST,CLEVELAND,OH,44120-4003,0000,03,3,1000,200301,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,L21,
010721543,BACH SOCIETY OF DAYTON INC,% DICK HATTERSHIRE,126 N MAIN ST STE 210,DAYTON,OH,45402-1766,0000,03,3,1000,200210,1,15,000000000,1,01,202406,4,4,01,0,06,202016,178748,178748,A60,
010721966,TOASTMASTERS INTERNATIONAL,% TYRONE HARRISON,940 MARION WILLIAMSPORT RD E,MARION,OH,43302-8684,0820,03,9,2000,194505,1,16,059319000,1,01,202412,0,0,02,0,12,0,0,0,,8214 ALIVE INSIDE TOASTMASTERS CLUB
010722102,REACHING HIGHER HEIGHTS CARE CENTER 4 LIFE,% FAMILY MISSIONARY BAPTIST CHURC,996 OAKWOOD AVE,COLUMBUS,OH,43206-1578,0000,03,3,1000,201207,1,15,000000000,1,01,202412,3,4,01,0,12,46123,150579,150579,T12,
010722133,OLMSTED COMMUNITY CENTER,% DONNA L WINTER,8170 MAPLEWAY DR,OLMSTED FALLS,OH,44138-1651,0000,03,3,1000,200301,1,15,000000000,1,01,202312,6,5,01,0,12,1148069,602702,600686,O20,
010723951,J C S BAND BOOSTERS INC,% DAN MOORE,P O BOX 255 STE,JACKSON,OH,45640-0000,0000,03,3,1200,200106,1,16,000000000,1,01,202406,4,4,01,0,06,153657,169589,111800,B12,
010730107,EMPOWERMENT TEMPLE MINISTRIES,%,1421 S COVE BLVD,TOLEDO,OH,43606-4265,0000,03,3,7000,200208,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010731305,KNIGHTS TEMPLAR OF THE UNITED STATES OF AMERICA,% JERRY K CARTER III,5727 US ROUTE 35,EATON,OH,45320-0000,0266,10,9,1000,196401,1,00,036279000,5,01,202506,0,0,02,0,06,0,0,0,Y40,JERUSALEM COMMANDERY NO 75
010731398,KNIGHTS OF COLUMBUS,% RICHARD CHRIST,1704 ZUTAVERN CHURCH RD NW,BOLIVAR,OH,44612-8417,0188,08,9,1000,194010,1,00,036029265,5,01,202412,0,0,02,0,12,0,0,0,,13081 HOLY TRINITY ZOAR COUNCIL
010732605,BETHANY GROUP INC,% TOAN TRINH,8671 CREEKWOOD DR,MAINEVILLE,OH,45039-9504,0000,03,3,1200,200403,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,O50,
010732661,TRAVELERS OUTREACH AND COMMUNITY DEVELOPMENT CORP,%,1533 CLEVELAND AVE,COLUMBUS,OH,43211-2743,0000,03,3,1000,200211,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,S30,
010733178,BROOKSIDE BIBLE FELLOWSHIP,% STEPHEN A WALKER PASTOR,4012 BUCKLEIGH WAY,TROTWOOD,OH,45426-2314,0000,03,3,7000,200211,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010739379,DOUGLAS E MITCHEL CHARITABLE FOUNDATION,% BERNARD L KARR,600 SUPERIOR AVE E STE 2100,CLEVELAND,OH,44114-2690,0000,03,3,1000,200210,1,04,000000000,1,01,202412,5,4,00,1,12,964394,277348,,T22,
010745046,NORTHEASTERN OHIO CAMARO CLUB INC,,5316 ARBOR CT,INDEPENDENCE,OH,44131-4681,0000,07,3,1000,201505,2,00,000000000,1,01,202412,0,0,02,0,12,0,0,0,N50,
010745370,ENTREPRENEURS ORGANIZATION,% RICK SETZER,4010 EXECUTIVE PARK DR STE 100,CINCINNATI,OH,45241-2021,3705,03,9,1000,199204,1,16,000000000,1,01,202406,4,4,01,0,06,340329,215986,215986,B036,ENTREPRENEURS ORG OF CINCINNATI
010756292,NUEVA VIDA IGLESIA BAUTISTA,,931 GROVE ST,DEFIANCE,OH,43512-2932,1593,03,9,7000,196308,1,10,029002000,5,01,,0,0,06,0,12,,,,,565635 NORTHWEST OHIO BAPTIST ASSOC
010757253,HOUSE OF PRAYER FOR ALL PEOPLE INC,% BRIAN DAVIES,69 S BALCH ST,AKRON,OH,44302-1514,0000,03,3,7000,200906,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010759556,AVENUES TO ENRICHMENT AND YOUTH DEVELOPMENT CENTER,% GERALDINE ROBINSON PRESIDENT,1726 CLARKSTONE RD,CLEVELAND,OH,44112-1402,0000,03,3,1200,200605,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,O50,
010759562,TRUE LIFE CHRISTIAN CHURCH,% ANGELA MCKIBBEN,15117 EASTWOOD RD,WILLIAMSBURG,OH,45176-9766,0000,03,3,7000,202411,1,10,000000000,1,01,,0,0,06,0,07,,,,X20,
010760857,ALLIANCE FOR THE VISUAL ARTS INC,% BETTY C TAYLOR,188 N HIGHLAND AVE,AKRON,OH,44303-1504,0000,03,3,1000,200809,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,A19,
010762655,OHIO ASSOC OF COUNTY BEHAVIORAL HEALTH AUTHORITIES FOUNDATION,% CHERI L WALTER,175 S 3RD ST STE 900,COLUMBUS,OH,43215-5166,0000,03,3,1000,200303,1,15,000000000,1,01,202406,6,6,01,0,06,1439762,2603641,2603641,T30,
010762998,SANCTUARY COVENANT CHRISTIAN FELLOW SHIP,% FREDERICK MCQUEEN,117 PARK AVE,HAMILTON,OH,45013-3120,0000,03,3,7000,200312,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
